,Please key in your name ?,What's the name of the startup you're reviewing?,How well is the problem identified and defined?,What is the level of pain area felt / perceived by the target customers / consumers?,What is the level of uniqueness in the proposition for the venture?,How high are the defensible technology barriers in the business? (High being 4),What is the strength of the competitive advantage in the business model?,What is the level of competition in terms of alternatives available ?,Low Price,Superior Quality,Distribution Leverage,Geographic Presence,Other,What is the level of sustainability of the competitive advantage in the next 24 months?,No Traction yet,Some Free Customers,Lots of Free Customers,Some Paid Customers,Growing Fast,Other,Are the business milestones for the next 24 months exciting?,Other,How feasible do you think is the Go To Market plan in next 12-18 month timeframe ?,What is the level of understanding and clarity of the financial projections by the team ?,Does the business model has high level of operating leverage & scalability potential ?,How do you think is the ability of the team to manage risks with Plan B ?,How would you rate the likability & connect with the Founder and his authenticity?,Other,Other,How did you find the overall presentation quality in terms of clarity and impact through communication ?,"How would you rate the quality of presentation deck in terms of clarity, scope, visual impact & simplicity ?",What is the overall feasibility of the business going forward ?,Addressable Market Size,Technology Barrier,Go to market plan strength,Revenue Stage,Product Uniqueness
1,Fred Then,Display Science,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,1.0,1,1,0,1,0.0,0.5,1,0,1,1,1,0.0,1,0.0,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.0,0.0,1.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0
2,Fred Then,Advocacy - WOOP,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,1,1,0,0,0.0,0.5,1,1,1,0,0,0.0,1,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,1.0
3,Fred Then,SpareParts3D,-0.0,-0.0,-0.0,0.3333333333333333,0.5,0.0,1,1,0,1,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.3333333333333333,0.3333333333333333,1.0,0.5,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,1.0
4,Fred Then,LocoBuzz,-0.0,-0.0,-0.0,-0.0,1.0,0.0,1,1,0,0,0.0,1.0,1,1,1,1,0,0.0,1,0.0,-0.0,0.3333333333333333,1.0,1.0,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,1.0
5,Fred Then,Magnetic Motors,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0,0,0,0,0.0,1.0,0,1,1,1,1,0.0,0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,1.0
6,Fred Then,The Gene Box,0.3333333333333333,-0.0,-0.0,-0.0,1.0,0.5,1,0,0,0,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.3333333333333333,0.3333333333333333,1.0,0.5,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,0.0,1.0
7,Fred Then,FRIDAY.LIFE,0.6666666666666666,-0.0,0.3333333333333333,0.3333333333333333,0.5,0.0,1,1,0,0,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.3333333333333333,0.6666666666666666,0.5,0.5,-0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,1.0,0.5,0.5,0.0,0.5
8,Fred Then,Swasti Agro and Bioproducts Pvt Ltd ,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1,1,0,0,0.0,1.0,1,1,1,0,1,0.0,1,0.0,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,0.5,1.0,1.0
9,Fred Then,BUSTIKET.COM,-0.0,-0.0,-0.0,-0.0,1.0,0.5,1,1,0,0,0.0,0.5,1,1,1,0,0,0.0,1,0.0,0.3333333333333333,-0.0,1.0,0.5,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,0.5,1.0
10,Fred Then,Seekmi,-0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1,0,1,0,0.0,0.5,1,1,1,1,0,0.0,1,0.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5,0.5,1.0,0.5
11,Fred Then,Staydilly,-0.0,-0.0,-0.0,0.3333333333333333,0.5,0.5,0,1,1,0,0.0,0.5,1,1,1,1,0,0.0,1,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
12,Fred Then,Hi-lo,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.5,1.0,1,1,0,0,0.0,0.5,0,1,1,1,1,0.0,0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.5,0.0,0.5
13,Hitoshi Iwasaki,TRUCKHALL PRIVATE LIMITED,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,1.0,1,1,1,0,0.0,0.0,1,1,1,0,1,0.0,0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.5,0.0,0.0
14,Hitoshi Iwasaki,Acrannolife Genomics,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1,0,1,1,0.0,0.5,1,0,1,1,1,0.0,1,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,1.0,1.0,0.0,0.0,1.0
15,Hitoshi Iwasaki,Almug Technologies Pvt Ltd,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1,0,1,1,0.0,1.0,1,1,1,0,1,0.0,1,0.0,-0.0,0.6666666666666666,1.0,0.5,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.5,0.5,1.0
16,Hitoshi Iwasaki,Entropik Tech,0.3333333333333333,0.6666666666666666,-0.0,-0.0,1.0,0.5,1,0,1,1,0.0,1.0,1,1,1,0,1,0.0,1,0.0,-0.0,0.3333333333333333,1.0,0.5,0.5,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,0.5,1.0
17,Hitoshi Iwasaki,Noviscient,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1,0,1,1,0.0,0.5,0,1,1,1,1,0.0,1,0.0,0.6666666666666666,1.0,1.0,0.5,-0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,1.0,0.5,0.0,0.0,0.5
18,Hitoshi Iwasaki,InvestaCrowd,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,1,0,1,0,0.0,0.5,1,1,1,0,1,0.0,1,0.0,-0.0,-0.0,1.0,0.5,0.5,0.0,0.0,0.3333333333333333,-0.0,0.5,1.0,0.5,1.0,0.5,0.5
19,Hitoshi Iwasaki,Fundlokal,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,1,1,1,0,0.0,0.5,1,1,0,1,1,0.0,0,0.0,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.0,0.5
20,Hitoshi Iwasaki,INSIGHTZCLUB,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.5,1,1,0,1,0.0,1.0,1,1,1,0,1,0.0,1,0.0,-0.0,0.3333333333333333,1.0,0.5,-0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,0.5,1.0,0.0,1.0
21,Hitoshi Iwasaki,ChitMonks,0.6666666666666666,1.0,-0.0,0.6666666666666666,0.5,0.5,1,1,1,0,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.0,0.5
22,Hitoshi Iwasaki,BloomSolutions,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1,0,0,0,0.0,1.0,1,1,1,1,0,0.0,1,0.0,-0.0,0.3333333333333333,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0
23,Hitoshi Iwasaki,Simple2Trade,0.3333333333333333,0.3333333333333333,-0.0,0.3333333333333333,1.0,0.5,1,0,1,1,0.0,1.0,1,1,1,0,1,0.0,1,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,-0.0,0.0,0.0,-0.0,0.3333333333333333,0.5,1.0,1.0,0.5,0.5,0.5
24,Marc Nicollet,Parklio,-0.0,0.3333333333333333,-0.0,-0.0,1.0,0.0,1,1,1,1,0.5,1.0,1,0,1,1,1,0.5,1,0.5,-0.0,0.3333333333333333,1.0,1.0,-0.0,0.5,0.5,-0.0,-0.0,1.0,1.0,1.0,1.0,0.0,1.0
25,Marc Nicollet,myofficecab,0.3333333333333333,0.6666666666666666,1.0,1.0,0.0,1.0,1,1,1,1,0.5,0.0,1,1,1,0,1,0.5,1,0.5,-0.0,0.6666666666666666,1.0,0.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,0.0,1.0,0.5,0.0
26,Marc Nicollet,Libero,-0.0,-0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1,1,1,0,0.0,0.5,1,1,1,1,0,0.0,1,0.0,-0.0,0.6666666666666666,1.0,1.0,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.5,1.0,0.5
27,Marc Nicollet,Birlibam,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,1,1,1,1,0.5,0.5,1,1,1,0,1,0.5,0,0.5,0.3333333333333333,0.6666666666666666,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5,1.0,0.5,0.5
28,Marc Nicollet,Andalin,-0.0,-0.0,0.3333333333333333,0.6666666666666666,1.0,0.5,1,0,1,1,0.0,0.0,1,1,1,0,1,0.0,1,0.0,-0.0,0.3333333333333333,0.5,1.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,0.5,1.0,0.5,1.0
29,Ramm,Talento Consulting Pvt Ltd,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.5,0.5,1,0,0,1,0.0,0.5,0,1,1,1,0,0.0,1,0.0,0.3333333333333333,0.6666666666666666,1.0,0.5,-0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.5
30,Ramm,pangga,0.6666666666666666,1.0,1.0,1.0,0.0,0.5,0,1,1,0,0.0,0.0,0,1,1,1,1,0.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Ramm,Watsan Envirotech Private Limited,-0.0,-0.0,0.3333333333333333,0.6666666666666666,0.5,0.5,0,0,0,0,0.0,1.0,1,1,1,0,0,0.0,1,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,0.0,0.0,0.5,1.0
32,Ramm,NxtSpark-FeedForward,-0.0,-0.0,-0.0,0.6666666666666666,0.5,1.0,1,0,1,0,0.0,0.5,1,0,1,1,1,0.0,0,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,0.5,0.0,0.0,0.5
33,Ramm,Zeolr Technologies - Respiron,-0.0,-0.0,0.3333333333333333,1.0,0.0,0.5,0,0,0,0,0.0,0.0,0,1,1,1,1,0.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,0.0,0.5
34,Ramm,Mathemate,-0.0,0.3333333333333333,1.0,1.0,0.0,1.0,1,0,1,1,0.0,0.0,0,1,1,1,1,0.0,0,0.0,0.3333333333333333,-0.0,0.5,1.0,-0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.5,0.0,0.5
35,Ramm,5C Network,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1,0,0,0,0.0,1.0,1,1,1,0,0,0.0,1,0.0,-0.0,-0.0,1.0,1.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,0.5,1.0,0.5
36,Ramm,Healing Accelerated,0.6666666666666666,-0.0,1.0,1.0,0.0,1.0,1,0,1,1,0.0,0.0,1,1,1,0,1,0.0,0,0.0,1.0,0.6666666666666666,0.5,0.5,-0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
37,Ramm,Kang Healthcare ,0.3333333333333333,0.3333333333333333,-0.0,-0.0,0.5,1.0,1,1,1,1,0.5,0.5,0,1,1,1,1,0.5,0,0.5,1.0,0.6666666666666666,0.0,0.0,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5,0.5,0.0,0.5
38,Ramm,Ixchel.Life,-0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,1.0,1,1,1,1,0.5,0.0,0,1,1,1,1,0.5,0,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
39,Ramm,TraitQuest,0.6666666666666666,0.3333333333333333,1.0,1.0,0.0,0.5,1,0,1,1,0.0,0.0,1,0,1,0,1,0.0,0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0
40,Ramm,Ampotech,-0.0,0.3333333333333333,-0.0,0.3333333333333333,0.5,1.0,0,0,0,0,0.0,1.0,1,0,1,1,1,0.0,1,0.0,0.3333333333333333,-0.0,1.0,0.5,-0.0,0.0,0.0,-0.0,-0.0,1.0,0.5,0.5,0.5,0.0,0.5
41,Kenya,Metromart.com,-0.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0,1,1,0,0.0,0.5,1,1,1,1,0,0.0,1,0.0,0.3333333333333333,-0.0,0.0,1.0,1.0,0.0,0.0,0.3333333333333333,-0.0,0.5,1.0,0.0,1.0,0.5,1.0
42,Kenya,LINKSMART TECHNOLOGIES,-0.0,0.6666666666666666,-0.0,0.3333333333333333,1.0,1.0,0,0,0,1,0.0,1.0,1,1,1,0,1,0.0,0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,0.0,0.5,0.5
43,Kenya,Alfox Printing,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.5,1.0,0,0,1,0,0.0,0.5,1,1,1,0,1,0.0,0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,0.0
44,Kenya,SatSure,0.3333333333333333,0.3333333333333333,-0.0,-0.0,1.0,0.5,1,0,1,1,0.0,1.0,1,1,1,0,1,0.0,0,0.0,0.3333333333333333,0.6666666666666666,0.5,1.0,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.0,0.5,0.5
45,Kenya,SideBeep,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,1,1,0,0,0.0,0.5,1,0,1,1,1,0.0,0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.5
46,Kenya,Opinir,0.6666666666666666,1.0,1.0,1.0,0.0,0.5,1,1,0,0,0.0,0.0,0,1,1,1,1,0.0,0,0.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
47,Kenya,ChatbotPH,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,1,0,1,1,0.0,0.5,1,1,1,0,1,0.0,1,0.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5,0.0,0.0,1.0
48,Kenya,Blackbook Technologies Pte Ltd,1.0,1.0,1.0,1.0,0.0,1.0,0,1,0,0,0.0,0.0,0,1,1,1,1,0.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
49,Kenya,Ritambhara Technologies,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,1,0,1,1,0.0,0.5,1,1,1,0,1,0.0,0,0.0,0.3333333333333333,0.6666666666666666,0.5,0.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.0,0.0,0.5
50,Kenya,Carblicity,-0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,0,1,1,0,0.0,1.0,1,1,1,1,0,0.0,1,0.0,0.6666666666666666,0.3333333333333333,0.5,0.5,0.5,0.0,0.0,-0.0,0.3333333333333333,1.0,0.5,0.0,0.0,0.5,1.0
51,Kenya,Enexl Technologies - Blupay,-0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.0,1,1,0,0,0.0,1.0,1,1,1,0,1,0.0,1,0.0,0.3333333333333333,-0.0,0.5,0.5,0.5,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,1.0,0.5,0.5,0.5,0.5
52,Dorit,Wiggles,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,1,1,1,1,0.5386,0.5,1,1,1,0,1,0.5386,1,0.5386,0.3333333333333333,0.3333333333333333,0.5,0.0,-0.0,0.5386,0.5386,-0.0,0.3333333333333333,0.5,1.0,0.0,1.0,0.0,0.0
53,Dorit,Bryden,-0.0,-0.0,-0.0,0.6666666666666666,1.0,0.0,1,1,1,1,0.6591,1.0,1,1,1,1,0,0.6591,1,0.6591,0.3333333333333333,0.3333333333333333,1.0,0.5,-0.0,0.6591,0.6591,-0.0,-0.0,0.5,1.0,0.0,1.0,0.0,1.0
